title,year,genre,imdb
The Thirteenth Chair,1929,"Drama, Mystery",5.9
Thunderbolt,1929,"Crime, Drama, Film-Noir",6.6
Tide of Empire,1929,Western,6.4
The Trespasser,1929,Drama,6.6
The Trial of Mary Dugan,1929,Drama,6.1
The Unholy Night,1929,"Mystery, Thriller",5.8
Untamed,1929,"Adventure, Drama, Romance",5.1
The Vagabond Lover,1929,"Comedy, Musical",5.3
The Valiant,1929,Drama,6
The Virginian,1929,"Romance, Western",6.8
Where East Is East,1929,"Drama, Romance",6.6
Why Be Good?,1929,"Comedy, Drama, Romance",7.2
Wild Orchids,1929,"Romance, Drama",6.6
The Wild Party,1929,"Comedy, Drama",6.4
The Younger Generation,1929,Drama,6.3
Abraham Lincoln,1930,"Biography, Drama, History",5.7
Animal Crackers,1930,"Comedy, Musical",7.5
Anna Christie,1930,"Drama, Romance",6.6
Back Pay,1930,"Drama, Romance",5.1
The Bat Whispers,1930,"Crime, Thriller, Horror",6.4
Be Yourself!,1930,"Comedy, Musical",5.8
Beau Ideal,1931,"Adventure, Romance, War",5.4
The Benson Murder Case,1930,"Crime, Mystery, Thriller",6.2
The Big Trail,1930,"Adventure, Western, Romance",7.2
Billy the Kid,1930,"Action, Biography, Drama",6
The Bishop Murder Case,1929,"Drama, Mystery",6.1
Bright Lights,1930,"Drama, Musical, Romance",5.6
Call of the Flesh,1930,"Musical, Romance",5.6
Charley's Aunt,1930,Comedy,6.2
Check and Double Check,1930,Comedy,5.7
Children of Pleasure,1930,"Comedy, Musical, Romance",5.7
City Girl,1930,"Drama, Romance",7.8
Conspiracy,1930,Mystery,5.4
The Cuckoos,1930,"Comedy, Musical",6.1
Danger Lights,1930,"Adventure, Drama",6.2
The Devil to Pay!,1930,"Comedy, Romance",6.5
The Devil's Holiday,1930,"Drama, Romance",6
Dixiana,1930,"Comedy, Drama, Music",5.3
The Doorway to Hell,1930,"Crime, Drama",6.5
Elstree Calling,1930,"Comedy, Musical",5.3
Extravagance,1930,"Drama, Romance",5.9
The Fall Guy,1930,"Comedy, Crime, Drama",5.2
Fast and Loose,1930,"Comedy, Romance",6.2
The Menace,1932,"Crime, Drama, Mystery",6.9
Feet First,1930,"Adventure, Comedy, Romance",6.7
The Flirting Widow,1930,"Comedy, Romance",6.5
The Florodora Girl,1930,"Drama, Musical, Romance",6.1
Follow Thru,1930,"Comedy, Musical, Romance",6.5
For the Defense,1930,"Crime, Drama, Romance",6.5
Framed,1930,"Action, Crime, Drama",6.1
The Girl Said No,1930,"Comedy, Romance",5.3
Going Wild,1930,"Musical, Romance",6
Golden Dawn,1930,"Comedy, Drama, Music",4.4
Good News,1930,"Comedy, Musical",5.5
The Green Goddess,1930,Adventure,5.4
Happy Days,1929,Musical,5.5
Hell Harbor,1930,"Drama, Romance",5.5
Holiday,1930,"Comedy, Drama",6.4
Hook Line and Sinker,1930,"Comedy, Romance",6.1
Journey's End,1930,"Drama, War",6.7
Just Imagine,1930,"Comedy, Fantasy, Musical",5.4
King of Jazz,1930,"Animation, Comedy, Music",6.7
Ladies of Leisure,1930,"Drama, Romance",6.7
The Lady of Scandal,1930,"Romance, Comedy, Drama",6
Laughter,1930,"Comedy, Romance",6.5
Let Us Be Gay,1930,"Comedy, Drama",6.4
Let's Go Native,1930,"Comedy, Musical, Romance",5.5
The Life of the Party,1930,"Comedy, Musical, Romance",5.6
The Light of Western Stars,1930,"Action, Adventure, Drama",4.6
Liliom,1930,Drama,6.8
Little Caesar,1931,"Action, Crime, Drama",7.3
Loose Ankles,1930,"Comedy, Romance",6.1
Lord Byron of Broadway,1930,"Drama, Music, Romance",5.3
The Pay-Off,1930,"Action, Crime, Drama",5.6
The Lottery Bride,1930,"Musical, Romance",5.3
Lovin' the Ladies,1930,"Comedy, Romance",6.2
Madam Satan,1930,"Comedy, Drama, Musical",6.5
Mammy,1930,"Comedy, Music, Romance",5.7
Manslaughter,1930,"Romance, Drama",6.2
The Matrimonial Bed,1930,Comedy,5.7
Maybe It's Love,1930,"Comedy, Music, Romance",5.1
The Medicine Man,1930,"Comedy, Romance",5
Men Without Women,1930,"Action, Drama",5.8
Min and Bill,1930,"Comedy, Drama",6.8
Moby Dick,1930,"Adventure, Drama",5.7
Montana Moon,1930,"Comedy, Drama, Musical",4.7
Murder!,1930,"Crime, Mystery, Thriller",6.4
New Moon,1930,"Drama, Musical, Romance",6.1
Not So Dumb,1930,"Comedy, Romance",6.1
A Notorious Affair,1930,"Drama, Romance",5.3
The Office Wife,1930,"Drama, Romance",6.2
One Night at Susie's,1930,Drama,5.8
One Romantic Night,1930,"Comedy, Romance",5.8
Our Blushing Brides,1930,"Drama, Music, Romance",6.1
Outside the Law,1930,"Crime, Drama, Romance",6
Outward Bound,1930,"Drama, Fantasy",6.7
Paid,1930,"Drama, Film-Noir",6.2
Party Girl,1930,"Crime, Drama, Romance",5.3
Passion Flower,1930,Drama,6.1
Playing Around,1930,"Comedy, Drama, Music",6.1
Puttin' on the Ritz,1930,"Music, Romance",5.7
One Heavenly Night,1931,"Comedy, Musical, Romance",5
Raffles,1930,"Adventure, Crime, Drama",6.5
Rain or Shine,1930,"Comedy, Drama, Romance",5.7
Redemption,1930,Drama,5.6
Remote Control,1930,"Adventure, Comedy, Crime",5.8
Renegades,1930,"Action, Adventure, Romance",5
The Return of Dr. Fu Manchu,1930,"Adventure, Mystery, Romance",6.7
River's End,1930,"Drama, Romance, Western",5.5
The Rogue Song,1930,"Musical, Romance",5.9
Romance,1930,"Drama, Romance",5.9
The Royal Family of Broadway,1930,Comedy,6.3
Runaway Bride,1930,"Crime, Drama, Romance",5.2
